"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
2.390457050E-1	6.737499684E-2	-5.774999969E-3	2.199999988E-3	6.765782160E-2
2.411931640E-1	6.737499684E-2	-3.299999982E-3	3.437499981E-3	6.754329430E-2
2.433387050E-1	6.737499684E-2	-5.774999969E-3	3.437499981E-3	6.770935851E-2
2.454863180E-1	6.613750011E-2	-5.774999969E-3	4.674999975E-3	6.655355114E-2
2.476318590E-1	6.366249919E-2	-3.299999982E-3	4.674999975E-3	6.391916323E-2
2.497793320E-1	6.366249919E-2	-4.537499975E-3	4.674999975E-3	6.399498679E-2
2.519247960E-1	6.008749828E-2	-4.537499975E-3	2.199999988E-3	6.029872598E-2
2.540724860E-1	5.637500063E-2	-3.299999982E-3	3.437499981E-3	5.657602939E-2
2.562177960E-1	5.032499880E-2	-3.299999982E-3	3.437499981E-3	5.055009307E-2
2.583654090E-1	4.661250114E-2	-3.299999982E-3	2.199999988E-3	4.678092841E-2
2.605109440E-1	4.056249931E-2	-2.062499989E-3	9.624999948E-4	4.062630506E-2
2.626584040E-1	3.561250120E-2	-2.062499989E-3	2.199999988E-3	3.573995171E-2
2.648038680E-1	3.079999983E-2	-2.062499989E-3	9.624999948E-4	3.088398132E-2
2.669515580E-1	2.461249940E-2	-2.062499989E-3	9.624999948E-4	2.471751280E-2
2.690970980E-1	1.856249943E-2	-8.249999955E-4	9.624999948E-4	1.860573612E-2
2.712445820E-1	1.237499993E-2	-8.249999955E-4	-2.749999985E-4	1.240551786E-2
2.733900450E-1	7.562499959E-3	4.124999978E-4	9.624999948E-4	7.634655730E-3
2.755375050E-1	1.374999993E-4	-8.249999955E-4	9.624999948E-4	1.275122536E-3
2.776829680E-1	-5.912499968E-3	4.124999978E-4	-2.749999985E-4	5.933248446E-3
2.798306590E-1	-1.319999993E-2	4.124999978E-4	-2.749999985E-4	1.320930654E-2
2.819761420E-1	-2.062499896E-2	2.749999985E-3	-1.512499992E-3	2.086242407E-2
2.841236020E-1	-2.543750033E-2	2.749999985E-3	-1.512499992E-3	2.563038390E-2
2.862690650E-1	-2.914999984E-2	3.987499978E-3	-1.512499992E-3	2.946031743E-2
2.884165250E-1	-3.286249936E-2	2.749999985E-3	-2.749999985E-4	3.297850798E-2
2.905619880E-1	-3.643750027E-2	5.224999972E-3	-1.512499992E-3	3.684127721E-2
2.927096210E-1	-4.015000165E-2	3.987499978E-3	-2.749999985E-4	4.034846234E-2
2.948551610E-1	-4.496249929E-2	6.462499965E-3	-2.749999985E-3	4.550772185E-2
2.970026210E-1	-4.619999975E-2	5.224999972E-3	-2.749999985E-3	4.657577806E-2
2.991480840E-1	-4.867500067E-2	5.224999972E-3	-1.512499992E-3	4.897799476E-2
3.012955440E-1	-5.238749832E-2	2.749999985E-3	-2.749999985E-3	5.253165693E-2
3.034410210E-1	-5.238749832E-2	2.749999985E-3	-2.749999985E-3	5.253165693E-2
3.055887120E-1	-5.115000159E-2	5.224999972E-3	-2.749999985E-3	5.148966680E-2
3.077340210E-1	-5.115000159E-2	3.987499978E-3	-3.849999979E-3	5.144944429E-2
3.098816350E-1	-4.991250113E-2	3.987499978E-3	-2.749999985E-3	5.014698819E-2
3.120271750E-1	-4.619999975E-2	1.512499992E-3	-2.749999985E-3	4.630648046E-2
3.141746540E-1	-4.619999975E-2	2.749999985E-3	-3.849999979E-3	4.644162978E-2
3.163201170E-1	-4.496249929E-2	1.512499992E-3	-2.749999985E-3	4.507190365E-2
3.184678080E-1	-4.015000165E-2	3.987499978E-3	-1.512499992E-3	4.037586463E-2
3.206131170E-1	-3.519999981E-2	2.749999985E-3	-1.512499992E-3	3.533963982E-2
3.227607310E-1	-3.643750027E-2	2.749999985E-3	-1.512499992E-3	3.657241559E-2
3.249062370E-1	-3.038750030E-2	4.124999978E-4	-1.512499992E-3	3.042791460E-2
3.270536970E-1	-2.419999987E-2	-8.249999955E-4	-1.512499992E-3	2.426125048E-2
3.291992370E-1	-2.186249942E-2	-8.249999955E-4	-1.512499992E-3	2.193027957E-2
3.313468510E-1	-1.814999990E-2	-8.249999955E-4	-2.749999985E-3	1.837568016E-2
3.334921600E-1	-1.319999993E-2	4.124999978E-4	-1.512499992E-3	1.329277287E-2
3.356397880E-1	-7.149999961E-3	-8.249999955E-4	-1.512499992E-3	7.354643476E-3
3.377853280E-1	-2.199999988E-3	-2.062499989E-3	-2.749999985E-4	3.028123371E-3
